,Unnamed: 0,MANUFACTURER,DATE,PRICE,MAT ~ 12/2025,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,MAT ~ 12/2024,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,MAT ~ 12/2023,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,MAT ~ 12/2022,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,MAT ~ 12/2021,Unnamed: 29,Unnamed: 30,Unnamed: 31,2025-12-01 00:00:00,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,2025-11-02 00:00:00,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,2025-10-02 00:00:00,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,2025-09-02 00:00:00,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,2025-08-02 00:00:00,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,2025-07-02 00:00:00,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,2025-06-02 00:00:00,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,2025-05-04 00:00:00,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,2025-04-05 00:00:00,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,2025-03-07 00:00:00,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,2025-02-06 00:00:00,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,2025-01-08 00:00:00,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,2024-12-10 00:00:00,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,2024-11-11 00:00:00,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,2024-10-13 00:00:00,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,2024-09-14 00:00:00,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,2024-08-16 00:00:00,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,2024-07-18 00:00:00,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,2024-06-19 00:00:00,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,2024-05-21 00:00:00,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,2024-04-22 00:00:00,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,2024-03-24 00:00:00,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,2024-02-24 00:00:00,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,2024-01-26 00:00:00,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175
10,RULING CAPS ENTER 40MG 14,,2010-04-01 00:00:00,408.0,1691168160,100,4.27,4145020,100,4.27,1621922808,100,27.84,3975301,100,10.26,1268671537,100,20.23,3605469,100,6.45,1055206681,100,21.35,3387062,100,13.89,869581810,100,2973946,100,138471120,100,6.44,339390,100,6.44,134431104,100,-0.59,329488,100,-0.59,145517688,100,-0.64,356661,100,-0.64,147948960,100,-0.61,362620,100,-0.61,150634824,100,5.49,369203,100,5.49,154529592,100,8.49,378749,100,8.49,134241792,100,7.51,329024,100,7.51,141556008,100,4.97,346951,100,4.97,135928464,100,1.89,333158,100,1.89,141799992,100,4.56,347549,100,4.56,137258952,100,9.79,336419,100,9.79,128849664,100,5.36,315808,100,5.36,130089984,100,4.48,318848,100,4.48,135232824,100,6.46,331453,100,6.46,146461800,100,14.32,358975,100,14.32,148851048,100,39.18,364831,100,13.37,142796328,100,22.92,349991,100,0.13,142431576,100,39.12,349097,100,13.33,124866768,100,31.03,306046,100,6.73,134859096,100,31.14,330537,100,6.82,133407432,100,50.62,326979,100,22.7,135611448,100,39.26,332381,100,13.44,125017728,100,41.09,306416,100,14.93,122296776,100,34.65,299747,100,9.68
11,OMEGA              FZS,FEROZSONS,1997-10-01 00:00:00,,548749291,5.99,12.21,1346768,6.67,4.36,489033480,6.01,16.45,1290462,6.91,8.06,419954197,6.39,25.25,1194159,7.28,0.06,335296927,6.2,10.76,1193411,7.06,0.52,302736510,6.29,1187202,7.31,52329784,6.72,21.57,125131,7.47,10.16,44980337,5.81,6.03,107557,6.36,-3.92,47155814,6.17,6.81,112759,6.66,-3.22,50501050,6.15,15.39,125080,6.89,8.31,48280021,6.15,9.37,119579,6.86,2.65,48376518,5.9,22.06,119818,6.62,14.57,37478498,5.16,6.8,92826,5.61,0.25,41738868,5.55,2.87,103378,6.24,-3.45,45928178,6.2,14.33,113754,7.02,7.31,44711679,5.65,9.38,110741,6.42,2.66,42873809,6.15,13.06,106189,6.82,6.12,44394735,6.32,19.22,109956,7.09,11.9,43044930,6.49,8.69,113587,7.57,8.69,42422298,6.53,5.64,111944,7.45,5.64,44151114,5.92,8.67,116506,7.07,8.67,43763817,5.91,8.53,115484,7.09,8.53,44143914,6.12,8.56,116487,6.99,8.56,39632774,5.85,-2.02,104583,6.58,-2.02,35090938,5.64,25.07,92598,6.32,9.69,40574868,5.86,26.08,107069,6.72,10.58,40170897,6.12,27.76,106003,6.84,12.04,40878415,6.12,33.53,107870,6.95,8.72,37921011,5.88,35.78,100066,6.7,10.55,37238504,5.64,33.46,98265,6.63,8.66
12,OMEGA CAPS ENTER 40MG 14,,2009-02-01 00:00:00,418.2,548749291,100,12.21,1346768,100,4.36,489033480,100,16.45,1290462,100,8.06,419954197,100,25.25,1194159,100,0.06,335296927,100,10.76,1193411,100,0.52,302736510,100,1187202,100,52329784,100,21.57,125131,100,10.16,44980337,100,6.03,107557,100,-3.92,47155814,100,6.81,112759,100,-3.22,50501050,100,15.39,125080,100,8.31,48280021,100,9.37,119579,100,2.65,48376518,100,22.06,119818,100,14.57,37478498,100,6.8,92826,100,0.25,41738868,100,2.87,103378,100,-3.45,45928178,100,14.33,113754,100,7.31,44711679,100,9.38,110741,100,2.66,42873809,100,13.06,106189,100,6.12,44394735,100,19.22,109956,100,11.9,43044930,100,8.69,113587,100,8.69,42422298,100,5.64,111944,100,5.64,44151114,100,8.67,116506,100,8.67,43763817,100,8.53,115484,100,8.53,44143914,100,8.56,116487,100,8.56,39632774,100,-2.02,104583,100,-2.02,35090938,100,25.07,92598,100,9.69,40574868,100,26.08,107069,100,10.58,40170897,100,27.76,106003,100,12.04,40878415,100,33.53,107870,100,8.72,37921011,100,35.78,100066,100,10.55,37238504,100,33.46,98265,100,8.66
13,VYBER              SHM,SHAIGAN PHARMA,2018-10-01 00:00:00,,361635377,3.95,14.9,948726,4.7,9.06,314740068,3.87,273.14,869890,4.66,236.96,84349033,1.28,999,258159,1.57,999,179683,0,999,575,0,999,0,0,0,0,24092101,3.09,5.43,63204,3.78,5.43,31230459,4.03,44.12,81931,4.85,44.12,31382931,4.11,5.98,82331,4.86,5.98,32485303,3.95,9.8,85223,4.69,2.61,28614801,3.64,14.89,75069,4.31,7.37,28208845,3.44,-3.93,74004,4.09,-10.21,25635499,3.53,-0.29,67253,4.06,-6.81,27867307,3.7,-10.18,73108,4.41,-16.05,39271832,5.3,43.35,103027,6.36,33.97,38474403,4.86,12.38,100935,5.85,5.02,30150194,4.33,52.08,79097,5.08,42.13,24221702,3.45,30.52,63544,4.1,21.98,22851741,3.45,136.38,59950,3.99,120.92,21670083,3.33,92.99,56850,3.78,80.36,29611968,3.97,227.43,77685,4.71,206,29586444,4,77.98,83052,5.1,56.12,24907232,3.45,170.29,69917,4.2,137.1,29361657,4.34,280.02,82421,5.19,233.35,25710197,4.13,257.98,72171,4.92,214.02,31024585,4.48,287.85,87089,5.47,240.22,27395568,4.17,410.8,76902,4.96,348.07,34237158,5.12,999,96107,6.19,999,19825112,3.07,999,55651,3.73,999,18558323,2.81,999,52095,3.51,999
14,VYBER CAPS ENTER 40MG 14,,2022-10-01 00:00:00,381.18,361635377,100,14.9,948726,100,9.06,314740068,100,273.14,869890,100,236.96,84349033,100,999,258159,100,999,179683,100,999,575,100,999,0,0,0,0,24092101,100,5.43,63204,100,5.43,31230459,100,44.12,81931,100,44.12,31382931,100,5.98,82331,100,5.98,32485303,100,9.8,85223,100,2.61,28614801,100,14.89,75069,100,7.37,28208845,100,-3.93,74004,100,-10.21,25635499,100,-0.29,67253,100,-6.81,27867307,100,-10.18,73108,100,-16.05,39271832,100,43.35,103027,100,33.97,38474403,100,12.38,100935,100,5.02,30150194,100,52.08,79097,100,42.13,24221702,100,30.52,63544,100,21.98,22851741,100,136.38,59950,100,120.92,21670083,100,92.99,56850,100,80.36,29611968,100,227.43,77685,100,206,29586444,100,77.98,83052,100,56.12,24907232,100,170.29,69917,100,137.1,29361657,100,280.02,82421,100,233.35,25710197,100,257.98,72171,100,214.02,31024585,100,287.85,87089,100,240.22,27395568,100,410.8,76902,100,348.07,34237158,100,999,96107,100,999,19825112,100,999,55651,100,999,18558323,100,999,52095,100,999
15,OMEZOL             B6H,BOSCH,1994-10-01 00:00:00,,281101949,3.07,5.2,819587,4.06,1.35,267210149,3.28,29.33,808657,4.33,18.4,206611086,3.14,23.99,682962,4.16,7.65,166633041,3.08,-7.5,634430,3.75,-8.86,180136681,3.74,696092,4.29,25036854,3.22,4.27,72998,4.36,4.27,22873679,2.95,2.52,66691,3.95,2.52,26181721,3.42,3.64,76336,4.51,3.64,24874282,3.03,-1.85,72524,3.99,-1.85,27547811,3.51,10.59,80319,4.61,10.59,27761830,3.39,19,80943,4.47,11.24,12667623,1.75,-16.93,36934,2.23,-22.35,23914623,3.18,15.35,69726,4.21,7.82,24505235,3.31,18.15,71448,4.41,10.44,20978715,2.65,-11,61166,3.55,-16.8,22496744,3.23,2.7,65592,4.21,-4,22262832,3.17,12.2,64910,4.18,4.88,24011001,3.62,33.7,70007,4.66,24.98,22311535,3.43,7.57,65052,4.33,0.56,25262192,3.39,16.08,73655,4.47,8.51,25343478,3.42,24.58,73892,4.54,16.45,24910637,3.45,28.3,72630,4.36,19.93,23329507,3.45,28.58,72766,4.58,28.58,15249815,2.45,28.46,47565,3.24,12.69,20732566,3,34.84,64666,4.06,18.29,20740902,3.16,35.95,64692,4.17,19.26,23570285,3.53,45.34,73517,4.73,27.49,21905999,3.39,58.36,68326,4.58,38.91,19842232,3.01,26.43,61889,4.17,10.91
16,OMEZOL CAPS ENTER 40MG 14,,2006-12-01 00:00:00,342.98,281101949,100,5.2,819587,100,1.35,267210149,100,29.33,808657,100,18.4,206611086,100,23.99,682962,100,7.65,166633041,100,-7.5,634430,100,-8.86,180136681,100,696092,100,25036854,100,4.27,72998,100,4.27,22873679,100,2.52,66691,100,2.52,26181721,100,3.64,76336,100,3.64,24874282,100,-1.85,72524,100,-1.85,27547811,100,10.59,80319,100,10.59,27761830,100,19,80943,100,11.24,12667623,100,-16.93,36934,100,-22.35,23914623,100,15.35,69726,100,7.82,24505235,100,18.15,71448,100,10.44,20978715,100,-11,61166,100,-16.8,22496744,100,2.7,65592,100,-4,22262832,100,12.2,64910,100,4.88,24011001,100,33.7,70007,100,24.98,22311535,100,7.57,65052,100,0.56,25262192,100,16.08,73655,100,8.51,25343478,100,24.58,73892,100,16.45,24910637,100,28.3,72630,100,19.93,23329507,100,28.58,72766,100,28.58,15249815,100,28.46,47565,100,12.69,20732566,100,34.84,64666,100,18.29,20740902,100,35.95,64692,100,19.26,23570285,100,45.34,73517,100,27.49,21905999,100,58.36,68326,100,38.91,19842232,100,26.43,61889,100,10.91
17,ENCID              WIS,WILSONS,1996-09-01 00:00:00,,252957155,2.76,74.53,653805,3.24,70.26,144932710,1.78,507.78,384015,2.06,303.8,23846327,0.36,4.39,95100,0.58,4.39,22843828,0.42,-21.59,91102,0.54,-21.59,29134894,0.61,116191,0.72,15606772,2,411.19,40338,2.41,411.19,22838320,2.95,-33.69,59029,3.49,-33.69,22398802,2.93,340.28,57893,3.42,340.28,31193813,3.8,393,80625,4.44,393,30838638,3.93,9.96,79707,4.57,9.96,34957189,4.27,12.42,90352,4.99,12.42,40315367,5.56,100.17,104201,6.29,100.17,24860646,3.3,147.83,64256,3.88,147.83,8242905,1.11,360.08,21305,1.31,198.18,10854866,1.37,649.6,28056,1.63,385.82,6998247,1,187.75,18088,1.16,86.49,3851590,0.55,271.38,9955,0.64,140.69,3053028,0.46,115.23,7891,0.53,39.49,34443386,5.3,999,89024,5.93,999,5087348,0.68,323.74,13149,0.8,174.62,6327363,0.85,213.11,16354,1,102.93,28046381,3.89,999,72490,4.35,999,31094766,4.59,999,80369,5.06,999,20140466,3.24,781.39,52056,3.55,471.23,10031156,1.45,438.42,25927,1.63,248.95,1791609,0.27,-15.65,7145,0.46,-15.65,1448081,0.22,-5.37,5775,0.37,-5.37,2432024,0.38,-70.94,9699,0.65,-70.94,1037102,0.16,-10.28,4136,0.28,-10.28
18,ENCID CAPS ENTER 40MG 14,,1999-12-01 00:00:00,386.9,252957155,100,74.53,653805,100,70.26,144932710,100,507.78,384015,100,303.8,23846327,100,4.39,95100,100,4.39,22843828,100,-21.59,91102,100,-21.59,29134894,100,116191,100,15606772,100,411.19,40338,100,411.19,22838320,100,-33.69,59029,100,-33.69,22398802,100,340.28,57893,100,340.28,31193813,100,393,80625,100,393,30838638,100,9.96,79707,100,9.96,34957189,100,12.42,90352,100,12.42,40315367,100,100.17,104201,100,100.17,24860646,100,147.83,64256,100,147.83,8242905,100,360.08,21305,100,198.18,10854866,100,649.6,28056,100,385.82,6998247,100,187.75,18088,100,86.49,3851590,100,271.38,9955,100,140.69,3053028,100,115.23,7891,100,39.49,34443386,100,999,89024,100,999,5087348,100,323.74,13149,100,174.62,6327363,100,213.11,16354,100,102.93,28046381,100,999,72490,100,999,31094766,100,999,80369,100,999,20140466,100,781.39,52056,100,471.23,10031156,100,438.42,25927,100,248.95,1791609,100,-15.65,7145,100,-15.65,1448081,100,-5.37,5775,100,-5.37,2432024,100,-70.94,9699,100,-70.94,1037102,100,-10.28,4136,100,-10.28
19,SANTE              MTR,MACTER,1996-01-01 00:00:00,,214021552,2.34,6,539368,2.67,-0.93,201911713,2.48,31.32,544406,2.92,23.86,153756240,2.34,14.28,439516,2.68,3.33,134539254,2.49,154.77,425358,2.52,135.56,52807990,1.1,180571,1.11,15397410,1.98,-1.79,38136,2.28,-5.76,15900483,2.05,-3.58,39382,2.33,-7.48,17395569,2.28,-11.33,43085,2.54,-14.92,18426746,2.24,10.12,45639,2.51,-0.32,19206388,2.45,9.12,47570,2.73,-1.21,20828655,2.54,30.24,51588,2.85,17.9,17883703,2.46,5.64,44294,2.68,-4.37,18871715,2.51,16.57,48710,2.94,9.97,18047264,2.44,12.8,46582,2.87,6.41,17933360,2.27,10.63,46288,2.68,4.37,16867540,2.42,8.38,43537,2.8,2.25,17262719,2.46,-8.69,44557,2.87,-13.86,15677355,2.36,9.26,40465,2.7,3.07,16490571,2.54,23.02,42564,2.83,16.06,19618680,2.63,42.63,50638,3.07,34.55,16734052,2.26,24.07,45784,2.81,24.07,17600653,2.44,15.67,48155,2.89,15.67,15992818,2.36,11.55,43756,2.75,11.55,16929229,2.72,58.52,46318,3.16,44.17,16189823,2.34,18.2,44295,2.78,7.5,15999763,2.44,49.11,43775,2.82,35.62,16209925,2.43,37.8,44350,2.86,25.33,15562625,2.41,32.59,42579,2.85,20.59,18906219,2.86,78.37,51727,3.49,62.23
20,SANTE CAPS ENTER 40MG 14,,2010-02-01 00:00:00,403.75,214021552,100,6,539368,100,-0.93,201911713,100,31.32,544406,100,23.86,153756240,100,14.28,439516,100,3.33,134539254,100,154.77,425358,100,135.56,52807990,100,180571,100,15397410,100,-1.79,38136,100,-5.76,15900483,100,-3.58,39382,100,-7.48,17395569,100,-11.33,43085,100,-14.92,18426746,100,10.12,45639,100,-0.32,19206388,100,9.12,47570,100,-1.21,20828655,100,30.24,51588,100,17.9,17883703,100,5.64,44294,100,-4.37,18871715,100,16.57,48710,100,9.97,18047264,100,12.8,46582,100,6.41,17933360,100,10.63,46288,100,4.37,16867540,100,8.38,43537,100,2.25,17262719,100,-8.69,44557,100,-13.86,15677355,100,9.26,40465,100,3.07,16490571,100,23.02,42564,100,16.06,19618680,100,42.63,50638,100,34.55,16734052,100,24.07,45784,100,24.07,17600653,100,15.67,48155,100,15.67,15992818,100,11.55,43756,100,11.55,16929229,100,58.52,46318,100,44.17,16189823,100,18.2,44295,100,7.5,15999763,100,49.11,43775,100,35.62,16209925,100,37.8,44350,100,25.33,15562625,100,32.59,42579,100,20.59,18906219,100,78.37,51727,100,62.23
21,TEPH               SAM,SAMI,1998-10-01 00:00:00,,194116096,2.12,5.99,478708,2.37,0.19,183144182,2.25,-1.74,477790,2.56,-12.08,186392499,2.84,6,543464,3.31,-2.43,175847333,3.25,11.22,556978,3.29,3.03,158103875,3.28,540600,3.33,15142181,1.94,-7.12,37342,2.23,-7.12,14896043,1.92,-3.46,36735,2.17,-3.46,16443025,2.15,1.34,40550,2.39,-5.29,16851364,2.05,-2.69,41557,2.29,-9.05,16915027,2.15,1.54,41714,2.39,-5.11,17287682,2.11,-0.92,42633,2.36,-7.4,15595530,2.15,-3.09,38460,2.32,-9.43,15638513,2.08,-7.49,38566,2.33,-13.54,15801119,2.13,-10.18,38967,2.4,-16.05,17592212,2.22,-24.68,43384,2.52,-29.61,15395213,2.21,121.5,37966,2.44,107.01,16558187,2.36,477.87,40834,2.63,440.06,16303128,2.46,33.77,40205,2.68,25.02,15429275,2.37,-6.81,38050,2.53,-12.91,16225980,2.18,-9.2,42816,2.6,-9.2,17316655,2.34,6.31,45694,2.8,-6.74,16659142,2.31,-4.92,43959,2.64,-16.6,17448158,2.58,9.46,46041,2.9,-3.98,16092582,2.59,7.17,42464,2.9,-5.98,16905094,2.44,3.64,44608,2.8,-9.08,17591408,2.68,22.69,46419,3,7.63,23357058,3.49,46.5,61633,3.97,28.51,6950310,1.08,-51.97,18340,1.23,-57.87,2865392,0.43,-79.45,7561,0.51,-81.98
22,TEPH CAPS ENTER 40MG 14,,2010-07-01 00:00:00,405.5,194116096,100,5.99,478708,100,0.19,183144182,100,-1.74,477790,100,-12.08,186392499,100,6,543464,100,-2.43,175847333,100,11.22,556978,100,3.03,158103875,100,540600,100,15142181,100,-7.12,37342,100,-7.12,14896043,100,-3.46,36735,100,-3.46,16443025,100,1.34,40550,100,-5.29,16851364,100,-2.69,41557,100,-9.05,16915027,100,1.54,41714,100,-5.11,17287682,100,-0.92,42633,100,-7.4,15595530,100,-3.09,38460,100,-9.43,15638513,100,-7.49,38566,100,-13.54,15801119,100,-10.18,38967,100,-16.05,17592212,100,-24.68,43384,100,-29.61,15395213,100,121.5,37966,100,107.01,16558187,100,477.87,40834,100,440.06,16303128,100,33.77,40205,100,25.02,15429275,100,-6.81,38050,100,-12.91,16225980,100,-9.2,42816,100,-9.2,17316655,100,6.31,45694,100,-6.74,16659142,100,-4.92,43959,100,-16.6,17448158,100,9.46,46041,100,-3.98,16092582,100,7.17,42464,100,-5.98,16905094,100,3.64,44608,100,-9.08,17591408,100,22.69,46419,100,7.63,23357058,100,46.5,61633,100,28.51,6950310,100,-51.97,18340,100,-57.87,2865392,100,-79.45,7561,100,-81.98
23,FAAST              C.C,CCL,2009-12-01 00:00:00,,120216177,1.31,2.48,292272,1.45,1.7,117309476,1.44,16.7,287379,1.54,-3.37,100519662,1.53,20.43,297405,1.81,3.71,83469031,1.54,8.85,286755,1.7,7.82,76682228,1.59,265953,1.64,8013439,1.03,-17.7,19435,1.16,-14.94,7589162,0.98,-21.23,18406,1.09,-18.59,8795198,1.15,-2.42,21331,1.26,0.85,11361065,1.38,0.95,27554,1.52,4.33,11253450,1.43,1.31,27293,1.57,4.7,12402954,1.51,27.04,31026,1.71,35.43,8322603,1.15,-21.47,20819,1.26,-16.28,10936234,1.45,-7.51,27357,1.65,-1.41,10126720,1.37,12.81,25332,1.56,4.57,9631842,1.22,11.25,22602,1.31,-3.26,11090554,1.59,37.42,26025,1.67,19.49,10692956,1.52,23.31,25092,1.62,7.22,9736675,1.47,8.4,22848,1.52,-5.74,9634399,1.48,5.21,22608,1.51,-8.51,9013499,1.21,-1.2,21151,1.28,-14.09,11254622,1.52,16.05,26410,1.62,0.91,11108452,1.54,4.72,26067,1.56,-8.94,9762670,1.44,-5.9,22909,1.44,-18.18,10597498,1.7,32.67,24868,1.7,-3.86,11824810,1.71,33.84,27748,1.74,-3.01,8976445,1.37,44.22,24224,1.56,20.18,8657764,1.3,23.87,23364,1.5,-1.69,8070797,1.25,23.85,21780,1.46,-1.71,8671845,1.31,43.96,23402,1.58,14.26
24,FAAST CAPS ENTER 40MG 14,,2017-07-01 00:00:00,412.32,120216177,100,2.48,292272,100,1.7,117309476,100,16.7,287379,100,-3.37,100519662,100,20.43,297405,100,3.71,83469031,100,8.85,286755,100,7.82,76682228,100,265953,100,8013439,100,-17.7,19435,100,-14.94,7589162,100,-21.23,18406,100,-18.59,8795198,100,-2.42,21331,100,0.85,11361065,100,0.95,27554,100,4.33,11253450,100,1.31,27293,100,4.7,12402954,100,27.04,31026,100,35.43,8322603,100,-21.47,20819,100,-16.28,10936234,100,-7.51,27357,100,-1.41,10126720,100,12.81,25332,100,4.57,9631842,100,11.25,22602,100,-3.26,11090554,100,37.42,26025,100,19.49,10692956,100,23.31,25092,100,7.22,9736675,100,8.4,22848,100,-5.74,9634399,100,5.21,22608,100,-8.51,9013499,100,-1.2,21151,100,-14.09,11254622,100,16.05,26410,100,0.91,11108452,100,4.72,26067,100,-8.94,9762670,100,-5.9,22909,100,-18.18,10597498,100,32.67,24868,100,-3.86,11824810,100,33.84,27748,100,-3.01,8976445,100,44.22,24224,100,20.18,8657764,100,23.87,23364,100,-1.69,8070797,100,23.85,21780,100,-1.71,8671845,100,43.96,23402,100,14.26
25,ZOLTUM             EVO,EVOLUTION PHARMA,2020-02-01 00:00:00,,101842965,1.11,333.53,112001,0.55,240.54,23491409,0.29,790.77,32889,0.18,26.57,2637204,0.04,76.29,25984,0.16,12.9,1495975,0.03,158.97,23015,0.14,158.97,577655,0.01,8887,0.05,8599161,1.1,126.94,9205,0.55,33.64,9615005,1.24,20.52,9973,0.59,7.61,7964067,1.04,713.06,7441,0.44,547.61,9184089,1.12,198.47,7564,0.42,198.03,9947873,1.27,374.21,10208,0.59,327.83,9449790,1.15,999,9616,0.53,455.2,7997718,1.1,187.82,9291,0.56,196.65,8879831,1.18,999,9899,0.6,999,10134372,1.37,999,11262,0.69,578.03,7209326,0.91,948.14,10407,0.6,337.27,9217961,1.32,999,9214,0.59,999,3643772,0.52,291.55,7921,0.51,443.65,3789105,0.57,999,6888,0.46,999,7977735,1.23,999,9268,0.62,999,979515,0.13,10.08,1149,0.07,-62.68,3077102,0.42,999,2538,0.16,260.51,2097766,0.29,999,2386,0.14,74.29,606866,0.09,113.99,1732,0.11,-60.3,2778752,0.45,999,3132,0.21,90.74,0,0,-100,0,0,-100,480029,0.07,999,1661,0.11,177.76,687820,0.1,166.95,2380,0.15,-39.96,86122,0.01,-75.1,298,0.02,-94.4,930597,0.14,662.75,1457,0.1,-22.38
26,ZOLTUM CAPS ENTER 40MG 100,,2023-12-01 00:00:00,2295.0,72443970,71.13,394.38,31566,28.18,394.38,14653575,62.38,999,6385,19.41,999,97680,3.7,999,444,1.71,999,0,0,0,0,0,0,0,0,0,0,6226335,72.41,311.68,2713,29.47,311.68,7100730,73.85,30.05,3094,31.02,30.05,6237810,78.32,837.24,2718,36.53,837.24,7635465,83.14,198.65,3327,43.98,198.65,7394490,74.33,358.97,3222,31.56,358.97,7059420,74.7,999,3076,31.99,999,5473575,68.44,155.35,2385,25.67,155.35,6258465,70.48,999,2727,27.55,999,7158105,70.63,999,3119,27.69,999,4050675,56.19,999,1765,16.96,999,6958440,75.49,999,3032,32.91,999,890460,24.44,52.76,388,4.9,52.76,1512405,39.91,999,659,9.57,999,5459805,68.44,999,2379,25.67,999,665550,67.95,999,290,25.24,999,2556630,83.09,999,1114,43.89,999,1611090,76.8,999,702,29.42,72.91,121635,20.04,999,53,3.06,999,2143530,77.14,999,934,29.82,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582930,62.64,999,254,17.43,999
27,ZOLTUM CAPS ENTER 40MG 14,,2020-04-01 00:00:00,365.5,29398995,28.87,232.65,80435,71.82,203.48,8837834,37.62,248.01,26504,80.59,3.77,2539524,96.3,69.76,25540,98.29,10.97,1495975,100,158.97,23015,100,158.97,577655,100,8887,100,2372826,27.59,4.22,6492,70.53,4.22,2514275,26.15,-0.15,6879,68.98,-0.15,1726257,21.68,449.82,4723,63.47,449.83,1548624,16.86,197.54,4237,56.02,197.54,2553383,25.67,424.66,6986,68.44,314.85,2390370,25.3,392.63,6540,68.01,289.52,2524143,31.56,297.36,6906,74.33,214.19,2621366,29.52,999,7172,72.45,999,2976267,29.37,520.02,8143,72.31,390.25,3158651,43.81,359.23,8642,83.04,263.11,2259521,24.51,999,6182,67.09,999,2753312,75.56,691.94,7533,95.1,526.18,2276700,60.09,999,6229,90.43,999,2517930,31.56,999,6889,74.33,999,313965,32.05,-64.72,859,74.76,-72.1,520472,16.91,999,1424,56.11,113.81,486676,23.2,677.5,1684,70.58,74.87,485231,79.96,71.1,1679,96.94,-61.52,635222,22.86,495.17,2198,70.18,33.86,0,0,-100,0,0,-100,480029,100,999,1661,100,177.76,687820,100,166.95,2380,100,-39.96,86122,100,-75.1,298,100,-94.4,347667,37.36,184.96,1203,82.57,-35.91
28,ZOLBI              AP&,ASIAN CONTINENTAL,2010-01-01 00:00:00,,84487108,0.92,45.43,227220,1.13,1.67,58096121,0.71,5.59,223481,1.2,5.59,55018974,0.84,1.68,211644,1.29,1.68,54111455,1,-16.61,208153,1.23,-16.61,64890434,1.35,249617,1.54,7225832,0.93,93.58,17820,1.06,24.1,7634160,0.99,43.62,18827,1.11,-7.93,8523805,1.12,74.28,21021,1.24,11.73,8393643,1.02,62.35,20700,1.14,4.08,7532788,0.96,38.74,18577,1.07,-11.06,7352750,0.9,47.09,18133,1,-5.7,7845015,1.08,57.13,19347,1.17,0.74,8435408,1.12,52.71,20803,1.26,-2.1,7881509,1.06,63.66,19437,1.2,4.92,4664202,0.59,1.95,17942,1.04,1.95,4486130,0.64,5.99,17257,1.11,5.99,4511866,0.64,2.11,17356,1.12,2.11,3732766,0.56,1.14,14359,0.96,1.14,5315662,0.82,-14.35,20448,1.36,-14.35,4890887,0.66,15.39,18814,1.14,15.39,5170084,0.7,10.23,19888,1.22,10.23,5429525,0.75,-4.34,20886,1.25,-4.34,4998771,0.74,-0.34,19229,1.21,-0.34,4992532,0.8,16.33,19205,1.31,16.33,5523890,0.8,19.56,21249,1.33,19.56,4815759,0.73,28.55,18525,1.2,28.55,4575036,0.68,-1.89,17599,1.13,-1.89,4232669,0.66,5.76,16282,1.09,5.76,4418540,0.67,5.75,16997,1.15,5.75
